20-6-2022,21.15,Lifeline,2,2,457,1
21-6-2019,16.92,Bloodhound,8,1,1071,7
13-4-2019,7.96,Fuse,12,1,1212,19
6-6-2019,17.61,Horizon,10,10,2244,17
20-5-2019,14.32,Wattson,8,1,772,19
24-12-2021,19.32,Gibraltar,9,5,1057,19
8-9-2019,0.35,Horizon,3,14,1704,20
4-3-2021,22.14,Wattson,2,4,1055,4
8-12-2022,16.05,Horizon,3,18,2618,13
1-11-2022,8.89,Revenant,2,5,1059,6
30-6-2020,23.12,Lifeline,11,9,3083,8
1-12-2022,24.04,Wattson,7,20,4814,18
1-6-2019,29.7,Revenant,8,12,2166,9
20-1-2021,3.3,Revenant,4,5,923,5
13-4-2020,5.44,Revenant,4,10,1254,2
24-9-2021,15.61,Pathfinder,2,1,213,17
25-11-2022,25.98,Wattson,3,10,1634,2
20-3-2021,28.12,Bangalore,9,14,1505,7
22-2-2021,22.54,Pathfinder,3,2,527,13
31-5-2019,20.57,Crypto,7,2,1730,8
7-7-2022,8.25,Crypto,6,9,2387,1
17-2-2020,7.08,Fuse,13,3,1499,19
3-10-2020,5.01,Fuse,12,9,3938,13
13-12-2020,29.75,Wraith,7,17,2414,13
10-4-2020,4.24,Bangalore,9,4,2598,2
15-7-2020,8.36,Wraith,14,15,3561,14
7-8-2019,4.25,Pathfinder,12,0,1534,18
31-1-2022,5.32,Bangalore,5,11,1254,20
25-11-2019,20.27,Crypto,7,2,1135,17
30-8-2020,29.16,Fuse,6,5,1727,7
21-3-2021,27.94,Pathfinder,8,8,3264,14
19-2-2019,0.43,Crypto,5,13,2320,20
1-11-2020,4.77,Horizon,17,14,5626,5
14-7-2022,6.55,Pathfinder,1,3,285,15
31-3-2021,29.22,Crypto,15,6,1275,12
11-1-2022,19.07,Bangalore,3,3,962,14
17-1-2021,3.42,Horizon,2,0,413,6
27-5-2019,22.27,Wattson,11,2,1862,7
15-10-2022,0.38,Lifeline,2,11,1671,6
5-9-2020,6.64,Gibraltar,13,5,3550,7
15-12-2022,10.66,Lifeline,3,4,674,18
8-7-2020,16.04,Wattson,5,2,877,8
25-4-2021,17.42,Fuse,4,13,2848,2
12-3-2022,0.16,Octane,17,5,4710,3
20-6-2020,24.97,Horizon,10,5,2607,8
23-1-2020,2.02,Gibraltar,5,4,872,12
25-6-2019,13.54,Horizon,6,1,1180,9
29-8-2020,27.07,Gibraltar,6,6,2051,10
19-10-2022,15.66,Bloodhound,3,1,697,1
9-5-2021,4.96,Octane,11,10,2671,1
19-2-2021,21.29,Lifeline,2,10,1274,4
16-8-2022,15.84,Gibraltar,14,1,1018,14
18-8-2019,11.28,Horizon,5,7,1045,20
26-1-2021,17.87,Crypto,12,9,2901,5
12-11-2021,11.99,Bloodhound,6,13,1457,15
9-2-2020,24.46,Bangalore,8,12,2185,10
6-7-2020,2.83,Fuse,3,0,266,1
18-6-2022,24.77,Fuse,6,2,1566,6
1-9-2019,18.62,Fuse,11,4,968,17
23-4-2021,14.75,Wattson,16,5,1838,2
10-7-2019,22.83,Gibraltar,2,3,534,18
12-12-2020,12.5,Wraith,3,2,637,17
15-4-2022,1.37,Bloodhound,1,12,2395,2
5-10-2022,20.17,Revenant,3,3,1172,19
21-12-2019,18.2,Horizon,1,10,625,13
16-6-2019,29.69,Horizon,8,11,1234,20
28-10-2022,6.89,Bangalore,2,3,588,1
20-10-2022,8.82,Bloodhound,1,3,676,17
30-12-2021,4.84,Wattson,3,0,419,18
22-8-2019,21.2,Bloodhound,6,7,1252,8
